SR NO,SKU NO,Size,Price,GST,Top Fabric,Pant Fabric,Lining,Topwear Type,Bottomwear Type,Top Length,Pant Length,Sleeve Length,Neck Type,Work,Colour,Stitching Type,Waist Type,Content,Description,HSN,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,,,,,,
1,DST0118_Black,"M(38),L(40),XL(42)",895,5%,Ribbed,Ribbed,No lining,Top,Trousers/Pants,Crop,'40 Inches'',Short sleeve,Round,Plain,Black,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Ribbed , Bottom Fabric :- Ribbed , Top Work :- Plain , Bottom Work :- Plain",5407,DST0118_Black (1).jpg,https://drive.google.com/file/d/1bgjy2fL8_5TISQgrOHViaDn-tfMZwkWl/view?usp=drive_link,,,,,,,,,,,,,,,
2,DST0118_Coffe,"M(38),L(40),XL(42)",895,5%,Ribbed,Ribbed,No lining,Top,Trousers/Pants,Crop,'40 Inches'',Short sleeve,Round,Plain,Brown,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Ribbed , Bottom Fabric :- Ribbed , Top Work :- Plain , Bottom Work :- Plain",5407,DST0118_Coffe (1).jpg,https://drive.google.com/file/d/1oyPmC-68XCpMuK1NMZGJbm-tO8H6QfGA/view?usp=drive_link,,,,,,,,,,,,,,,
3,DST0118_Lightpink,"M(38),L(40),XL(42)",895,5%,Ribbed,Ribbed,No lining,Top,Trousers/Pants,Crop,'40 Inches'',Short sleeve,Round,Plain,Pink,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Ribbed , Bottom Fabric :- Ribbed , Top Work :- Plain , Bottom Work :- Plain",5407,DST0118_Lightpink (1).jpg,https://drive.google.com/file/d/1M03GD1vP2WRlFBBTxz25YcIcIuuLAa1W/view?usp=drive_link,,,,,,,,,,,,,,,
4,DST0118_Maroon,"M(38),L(40),XL(42)",895,5%,Ribbed,Ribbed,No lining,Top,Trousers/Pants,Crop,'40 Inches'',Short sleeve,Round,Plain,Maroon,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Ribbed , Bottom Fabric :- Ribbed , Top Work :- Plain , Bottom Work :- Plain",5407,https://drive.google.com/file/d/1hWFiuGKpBcyOcmn07vWzj-8yxiz7tAcU/view?usp=drive_link,https://drive.google.com/file/d/1U5Fc9d6BX2aDvSK4IUxDjjA_6nSbrCpi/view?usp=drive_link,,,,,,,,,,,,,,,
5,DST0118_Pista,"M(38),L(40),XL(42)",895,5%,Ribbed,Ribbed,No lining,Top,Trousers/Pants,Crop,'40 Inches'',Short sleeve,Round,Plain,Pista,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Ribbed , Bottom Fabric :- Ribbed , Top Work :- Plain , Bottom Work :- Plain",5407,https://drive.google.com/file/d/1tQFAXoP0VOqz4tegi4eUqk9Xdt8LJMd4/view?usp=drive_link,https://drive.google.com/file/d/1u71xtrDVSj8puI6sdnX-SznCI91YTBS1/view?usp=drive_link,,,,,,,,,,,,,,,
6,CO-01_Black,"M(38),L(40),XL(42),XXl(44)",1195,5%,Bindu Bubbal,Bindu Bubbal,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,V Neck,Embroidery Chain Stitch Work,Black,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Embroidery Chain Stitch Work || Bottom Work :- Embroidery Chain Stitch Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1VxPh3KCCfPyOcgh4um5tQEPBbXL4QgA4/view?usp=drive_link,https://drive.google.com/file/d/1WOHGUe7SVYtjMrCbjy_3ngevUfg7xhNd/view?usp=drive_link,https://drive.google.com/file/d/1C9RzssOygHz6N-BRk0RwZzEgK97Q5ppA/view?usp=drive_link,,,,,,,,,,,,,,
7,CO-01_White,"M(38),L(40),XL(42),XXl(44)",1195,5%,Bindu Bubbal,Bindu Bubbal,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,V Neck,Embroidery Chain Stitch Work,White,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Embroidery Chain Stitch Work || Bottom Work :- Embroidery Chain Stitch Work || Stitched Type :- FullStitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1Zw5LeFUlkECIqzWzaqqHdgPyav78tpjr/view?usp=drive_link,https://drive.google.com/file/d/1m8nYvv3s1ew2tbeWdATAp1lu4d6PEoKP/view?usp=drive_link,https://drive.google.com/file/d/1sMCAWmkMS-SvHUP8URhmS8uf66Q7HZuB/view?usp=drive_link,https://drive.google.com/file/d/1MMCtYresy7aagbk0hPEHXHMI8pLbv-TS/view?usp=drive_link,,,,,,,,,,,,,
8,CO-02_White,"M(38),L(40),XL(42),XXl(44)",1195,5%,Cotton,Cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,V Neck,Printed,White,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Digital Printed Work || Bottom Work :- Digital Printed Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1CYP-4esuFysb8v9Pbs3CoemTUlo6imUs/view?usp=drive_link,https://drive.google.com/file/d/1QMUTjWqRVq98tyti8unC7sbmO_w7DR8s/view?usp=drive_link,https://drive.google.com/file/d/1PKW2utpjGKvU9YSLuPzJycze4KaCPNx9/view?usp=drive_link,,,,,,,,,,,,,,
9,CO-03_Pink,"S (36),M(38),L(40),XL(42),XXl(44)",1295,5%,Cotton Silk,Cotton Silk,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,Round,Embroidery Chain Stitch Work,Pink,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Embroidery Chain Stitch Work || Bottom Work :- Plain Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1y1lCAjnJiIRL8IB4fa6eIV7ia04hX8Bk/view?usp=drive_link,https://drive.google.com/file/d/1o6b04msJwV1nIAri7Id_C1lEQeIg-mvc/view?usp=drive_link,https://drive.google.com/file/d/1mUFLeaquHjOAmmz0ZptJpDs81G6ndzuI/view?usp=drive_link,https://drive.google.com/file/d/1EE5InkCsFP7p2SkmNmsuJtfG_oGxUfmM/view?usp=drive_link,https://drive.google.com/file/d/1hpoC-zy_UIsle81MC2-zoZLi58eGw1bs/view?usp=drive_link,,,,,,,,,,,,
10,CO-04_Black,"M(38),L(40),XL(42),XXl(44)",1295,5%,Cotton,Cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,V Neck,Embroidery Chain Stitch Work,Black,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Embroidery Chain Stitch Work || Bottom Work :- Embroidery Chain Stitch Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1cJcm4BNouolhIVA9r6OVftOyPdJSqxcG/view?usp=drive_link,https://drive.google.com/file/d/1WBSsXDGabeFklqTQe8tAWGr2i2zUAHN7/view?usp=drive_link,https://drive.google.com/file/d/1b6KH_hSgfru4jK8dO2acvWikHIPFtczg/view?usp=drive_link,https://drive.google.com/file/d/1eaagBi1MAZfxrg8PH-eu8ScHkFhGJsE0/view?usp=drive_link,,,,,,,,,,,,,
11,CO-04_Brown,"M(38),L(40),XL(42),XXl(44)",1295,5%,Cotton,Cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,V Neck,Embroidery Chain Stitch Work,Brown,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Embroidery Chain Stitch Work || Bottom Work :- Embroidery Chain Stitch Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1uR6IEz8x1Oz7j7JAZDeuN_2aTGzO7mB_/view?usp=drive_link,https://drive.google.com/file/d/1wiG1iB-T6p-LX_QyENgpLyyopsDyYCVp/view?usp=drive_link,https://drive.google.com/file/d/12pWTJTFIkTmEiD42xc2JJQ8CIJAvqxy-/view?usp=drive_link,https://drive.google.com/file/d/1v3IWz0hgdkllylrtiLI2j_pWA4jQNQHN/view?usp=drive_link,https://drive.google.com/file/d/1_smuRsXsH4sEn1uQcu-PQXlu2Bv43gMj/view?usp=drive_link,,,,,,,,,,,,
12,CO-04_White,"M(38),L(40),XL(42),XXl(44)",1295,5%,Cotton,Cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,V Neck,Embroidery Chain Stitch Work,White,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Embroidery Chain Stitch Work || Bottom Work :- Embroidery Chain Stitch Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1SQym8bZZAe4pkZusbPB0xuts7OfRILLS/view?usp=drive_link,https://drive.google.com/file/d/1E55RtvSlgZuhEGdXA8kwDFnIyKZLrSsv/view?usp=drive_link,https://drive.google.com/file/d/1Ig_obII0kzNQHiPhaVKHkrUGYmuhDlly/view?usp=drive_link,https://drive.google.com/file/d/1Z3nGTcD1jZQtPwG-5Fe5UuoIatbhsExK/view?usp=drive_link,,,,,,,,,,,,,
13,CO-05_Lavender,"M(38),L(40),XL(42),XXl(44)",1395,5%,Cotton,Cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,Shirt Collar,Embroidery Multi Thread Work,Lavender,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Embroidery Multi Thread Work || Bottom Work :- Embroidery Multi Thread Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1EQ109RHUj28HOAMXMJQLqHCHBtjLKr5X/view?usp=drive_link,https://drive.google.com/file/d/1M0RqzBL7xZBeRyljK546l_uJc37h3Z8U/view?usp=drive_link,https://drive.google.com/file/d/1kMKwu0AvFqLm1-6jTi_moqVYWH6RL6aJ/view?usp=drive_link,https://drive.google.com/file/d/1QYFPOLoo1hmvCbTwdBRkJjBsYcKsqv7S/view?usp=drive_link,https://drive.google.com/file/d/1YoticxMbtEcJmOdk-gRepQdyZQbYWYVe/view?usp=drive_link,,,,,,,,,,,,
14,CO-05_LPink,"M(38),L(40),XL(42),XXl(44)",1395,5%,Cotton,Cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,Shirt Collar,Embroidery Multi Thread Work,Pink,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Embroidery Multi Thread Work || Bottom Work :- Embroidery Multi Thread Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1Kafiw_AAGn74pcWdJfEcxce7tH5QBcxF/view?usp=drive_link,https://drive.google.com/file/d/1btzC4fpV7E2u3HHKIOrsawzu04dYG03N/view?usp=drive_link,https://drive.google.com/file/d/1BqgAIQyIMvCoxwvjyAjhSZN25ysLYS26/view?usp=drive_link,https://drive.google.com/file/d/1-Q0CGUjaASjKr4hyPPzUNWb3ToZzbw77/view?usp=drive_link,,,,,,,,,,,,,
15,CO-05_Pista,"M(38),L(40),XL(42),XXl(44)",1395,5%,Cotton,Cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,Shirt Collar,Embroidery Multi Thread Work,Pista,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Embroidery Multi Thread Work || Bottom Work :- Embroidery Multi Thread Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1eaWBJgPwG9zF4gmC5yGfDg_qMWJVme5y/view?usp=drive_link,https://drive.google.com/file/d/1vW9OZp6KudBrgzQhl2oeUYa0jZXmlW62/view?usp=drive_link,https://drive.google.com/file/d/1gi4rJkdLjvDSuKbeMuvYVd7T__bZSe0x/view?usp=drive_link,https://drive.google.com/file/d/1nprHxTpU4_n4oFHLRJUdGJLjUOHDmaMH/view?usp=drive_link,,,,,,,,,,,,,
16,CO-06_Brown,"M(38),L(40),XL(42),XXl(44)",1195,5%,Bindu Bubbal,Bindu Bubbal,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,V Neck,Embroidery Multi Thread Work,Brown,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Embroidery Multi Thread Work || Bottom Work :- Plain Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1RkwR8hPT4hwYTxCq_FZcpdtD4nKNe7ZB/view?usp=drive_link,https://drive.google.com/file/d/1dt-QAQfasVydgxxTCQLth5XUiApqIGJD/view?usp=drive_link,https://drive.google.com/file/d/1YAPiuH4WvoJh-qgyt_6kw21V7gpvDE4s/view?usp=drive_link,https://drive.google.com/file/d/1jpCsDO3g_TYBUSEtARpr2nQk2ugFUL2P/view?usp=drive_link,,,,,,,,,,,,,
17,CO-07_Maroon,"M(38),L(40),XL(42),XXl(44)",1195,5%,Cotton,Cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,Shirt Collar,Embroidery Multi Thread Work,Maroon,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Embroidery Multi Thread Work || Bottom Work :- Plain Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1bw5dERXUUqXTe6dyw79QAs0DNhOJNzcL/view?usp=drive_link,https://drive.google.com/file/d/1cQDXPUnMt5lJIVvDSanAO1WV6K9upW2d/view?usp=drive_link,https://drive.google.com/file/d/1cWEX5gfavZ81KLyjYlUqbQDciU9pHn9r/view?usp=drive_link,https://drive.google.com/file/d/1XTVszP26FRxGEakkVhAbx7OlVHgaOrCm/view?usp=drive_link,,,,,,,,,,,,,
18,CO-07_Off White,"M(38),L(40),XL(42),XXl(44)",1195,5%,Cotton,Cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,Shirt Collar,Embroidery Multi Thread Work,Off White,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Embroidery Multi Thread Work || Bottom Work :- Plain Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1dJkUtew92-1YIf4GdHxMhVgUpoSDBcm7/view?usp=drive_link,https://drive.google.com/file/d/1jJ_En8OPeVay9bd81XvJYcvP58998zmZ/view?usp=drive_link,https://drive.google.com/file/d/1O_BfuOvl6ngfbXP-pmTRlBNwf-jMn711/view?usp=drive_link,https://drive.google.com/file/d/1arHrIib3KX5F2MwdkR_kwIb18HCsTDR1/view?usp=drive_link,,,,,,,,,,,,,
19,CO-07_Peach,"M(38),L(40),XL(42),XXl(44)",1195,5%,Cotton,Cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,Shirt Collar,Embroidery Multi Thread Work,Pink,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Embroidery Multi Thread Work || Bottom Work :- Plain Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1fgnjIfPQ9wPyoX7N5Q6I4o-DVd4OcLOb/view?usp=drive_link,https://drive.google.com/file/d/1bFcSlyNmDMQl5kan7SgUyF-YyxmEoWeM/view?usp=drive_link,https://drive.google.com/file/d/1iMsIAdCpOi4MwJEaA-WvnNvkPiJBCePp/view?usp=drive_link,https://drive.google.com/file/d/1YJvps9OXv_ZsmRwV3GIS6HbJwPtYt7CY/view?usp=drive_link,,,,,,,,,,,,,
20,CO-08_White,"M(38),L(40),XL(42),XXl(44)",1895,5%,Cotton,Cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,Shirt Collar,Embroidery Multi Thread Work,White,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Embroidery Multi Thread Work || Bottom Work :- Embroidery Multi Thread Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1Sxj-4JtMAXUzwFESEpNaYroC-mx8fqDZ/view?usp=drive_link,https://drive.google.com/file/d/1UxLtkpRKtv4VjW_Ohwa0dFocbZ1UBbEv/view?usp=drive_link,https://drive.google.com/file/d/11CHGdSowZ7dzawVhdrA4ROxpkcr7TpcW/view?usp=drive_link,https://drive.google.com/file/d/1ch1Sml62ioE9NPJHGJOEbg4xBhbUyq4_/view?usp=drive_link,,,,,,,,,,,,,
